State,ZipCode,CombinedRate,TaxRegionName,TaxRegionCode
AK,99501,0,ALASKA STATE,AAAA
AK,99502,0,ALASKA STATE,AAAA
AK,99503,0,ALASKA STATE,AAAA
AK,99504,0,ALASKA STATE,AAAA
AK,99505,0,ALASKA STATE,AAAA
AK,99506,0,ALASKA STATE,AAAA
AK,99507,0,ALASKA STATE,AAAA
AK,99508,0,ALASKA STATE,AAAA
AK,99509,0,ALASKA STATE,AAAA
AK,99510,0,ALASKA STATE,AAAA
AK,99511,0,ALASKA STATE,AAAA
AK,99513,0,ALASKA STATE,AAAA
AK,99514,0,ALASKA STATE,AAAA
AK,99515,0,ALASKA STATE,AAAA
AK,99516,0,ALASKA STATE,AAAA
AK,99517,0,ALASKA STATE,AAAA
AK,99518,0,ALASKA STATE,AAAA
AK,99519,0,ALASKA STATE,AAAA
AK,99520,0,ALASKA STATE,AAAA
AK,99521,0,ALASKA STATE,AAAA
AK,99522,0,ALASKA STATE,AAAA
AK,99523,0,ALASKA STATE,AAAA
AK,99524,0,ALASKA STATE,AAAA
AK,99529,0,ALASKA STATE,AAAA
AK,99530,0,ALASKA STATE,AAAA
AK,99540,0,ALASKA STATE,AAAA
AK,99550,0,ALASKA STATE,AAAA
AK,99553,0,ALASKA STATE,AAAA
AK,99554,0.04,ALAKANUK,AAID
AK,99556,0.03,KENAI PENINSULA BURROUGH,AADF
AK,99558,0,ALASKA STATE,AAAA
AK,99559,0.06,BETHEL,AABB
AK,99567,0,ALASKA STATE,AAAA
AK,99568,0.03,KENAI PENINSULA BURROUGH,AADF
AK,99572,0.03,KENAI PENINSULA BURROUGH,AADF
AK,99573,0,ALASKA STATE,AAAA
AK,99574,0.06,CORDOVA,AAHU
AK,99576,0.06,DILLINGHAM,AACM
AK,99577,0,ALASKA STATE,AAAA
AK,99581,0.04,EMMONAK,AAIF
AK,99583,0.03,FALSE PASS,AAAT
AK,99586,0,ALASKA STATE,AAAA
AK,99587,0,ALASKA STATE,AAAA
AK,99588,0,ALASKA STATE,AAAA
AK,99590,0,ALASKA STATE,AAAA
AK,99599,0,ALASKA STATE,AAAA
AK,99602,0,ALASKA STATE,AAAA
AK,99603,0.075,HOMER,AADJ
AK,99605,0.03,KENAI PENINSULA BURROUGH,AADF
AK,99608,0,ALASKA STATE,AAAA
AK,99609,0.03,KASIGLUK,AABG
AK,99610,0.03,KENAI PENINSULA BURROUGH,AADF
AK,99611,0.06,KENAI,AADL
AK,99612,0.06,KING COVE,AAAU
AK,99615,0.07,KODIAK,AAEA
AK,99621,0.05,KWETHLUK,AABJ
AK,99622,0,ALASKA STATE,AAAA
AK,99623,0,ALASKA STATE,AAAA
AK,99624,0.03,LARSEN BAY,AAEC
AK,99631,0.03,KENAI PENINSULA BURROUGH,AADF
AK,99633,0,ALASKA STATE,AAAA
AK,99634,0.05,NAPAKIAK,AABN
AK,99635,0.06,KENAI,AADL
AK,99636,0,ALASKA STATE,AAAA
AK,99639,0.03,KENAI PENINSULA BURROUGH,AADF
AK,99643,0.03,OLD HARBOR,AAEE
AK,99644,0.03,OUZINKIE,AAED
AK,99645,0,ALASKA STATE,AAAA
AK,99649,0,ALASKA STATE,AAAA
AK,99652,0,ALASKA STATE,AAAA
AK,99653,0,ALASKA STATE,AAAA
AK,99654,0,ALASKA STATE,AAAA
AK,99655,0.03,QUINHAGAK,AABS
AK,99659,0,ALASKA STATE,AAAA
AK,99663,0.075,SELDOVIA,AADQ
AK,99664,0.03,KENAI PENINSULA BURROUGH,AADF
AK,99665,0,ALASKA STATE,AAAA
AK,99669,0.03,KENAI PENINSULA BURROUGH,AADF
AK,99672,0.03,KENAI PENINSULA BURROUGH,AADF
AK,99674,0,ALASKA STATE,AAAA
AK,99675,0,ALASKA STATE,AAAA
AK,99676,0,ALASKA STATE,AAAA
AK,99679,0.06,BETHEL,AABB
AK,99682,0.03,KENAI PENINSULA BURROUGH,AADF
AK,99683,0,ALASKA STATE,AAAA
AK,99684,0.05,UNALAKLEET,AAFQ
AK,99685,0.03,UNALASKA,AAAH
AK,99686,0,ALASKA STATE,AAAA
AK,99688,0,ALASKA STATE,AAAA
AK,99689,0.05,YAKUTAT,EHCP
AK,99691,0,ALASKA STATE,AAAA
AK,99692,0.03,UNALASKA,AAAH
AK,99694,0.02,HOUSTON,AAEV
AK,99701,0,ALASKA STATE,AAAA
AK,99702,0,ALASKA STATE,AAAA
AK,99703,0,ALASKA STATE,AAAA
AK,99704,0.06,ANDERSON,AACE
AK,99705,0,ALASKA STATE,AAAA
AK,99706,0,ALASKA STATE,AAAA
AK,99707,0,ALASKA STATE,AAAA
AK,99708,0,ALASKA STATE,AAAA
AK,99709,0,ALASKA STATE,AAAA
AK,99712,0,ALASKA STATE,AAAA
AK,99714,0,ALASKA STATE,AAAA
AK,99720,0,ALASKA STATE,AAAA
AK,99721,0,ALASKA STATE,AAAA
AK,99722,0,ALASKA STATE,AAAA
AK,99724,0,ALASKA STATE,AAAA
AK,99726,0,ALASKA STATE,AAAA
AK,99729,0,ALASKA STATE,AAAA
AK,99730,0,ALASKA STATE,AAAA
AK,99731,0,ALASKA STATE,AAAA
AK,99732,0,ALASKA STATE,AAAA
AK,99733,0,ALASKA STATE,AAAA
AK,99737,0,ALASKA STATE,AAAA
AK,99740,0.03,FORT YUKON,AAJE
AK,99741,0.03,GALENA,AAJG
AK,99743,0,ALASKA STATE,AAAA
AK,99744,0.06,ANDERSON,AACE
AK,99745,0,ALASKA STATE,AAAA
AK,99746,0,ALASKA STATE,AAAA
AK,99747,0,ALASKA STATE,AAAA
AK,99748,0,ALASKA STATE,AAAA
AK,99752,0.06,KOTZEBUE,AAGJ
AK,99754,0,ALASKA STATE,AAAA
AK,99755,0,ALASKA STATE,AAAA
AK,99756,0,ALASKA STATE,AAAA
AK,99757,0,ALASKA STATE,AAAA
AK,99758,0,ALASKA STATE,AAAA
AK,99759,0,ALASKA STATE,AAAA
AK,99760,0.04,NENANA,AAJR
AK,99762,0.07,NOME,AAFJ
AK,99764,0,ALASKA STATE,AAAA
AK,99765,0,ALASKA STATE,AAAA
AK,99766,0.03,POINT HOPE,AAFZ
AK,99767,0,ALASKA STATE,AAAA
