State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
AK,99501,ALASKA STATE,AAAA,0,0,0,0,0
AK,99502,ALASKA STATE,AAAA,0,0,0,0,0
AK,99503,ALASKA STATE,AAAA,0,0,0,0,0
AK,99504,ALASKA STATE,AAAA,0,0,0,0,0
AK,99505,ALASKA STATE,AAAA,0,0,0,0,0
AK,99506,ALASKA STATE,AAAA,0,0,0,0,0
AK,99507,ALASKA STATE,AAAA,0,0,0,0,0
AK,99508,ALASKA STATE,AAAA,0,0,0,0,0
AK,99509,ALASKA STATE,AAAA,0,0,0,0,0
AK,99510,ALASKA STATE,AAAA,0,0,0,0,0
AK,99511,ALASKA STATE,AAAA,0,0,0,0,0
AK,99513,ALASKA STATE,AAAA,0,0,0,0,0
AK,99514,ALASKA STATE,AAAA,0,0,0,0,0
AK,99515,ALASKA STATE,AAAA,0,0,0,0,0
AK,99516,ALASKA STATE,AAAA,0,0,0,0,0
AK,99517,ALASKA STATE,AAAA,0,0,0,0,0
AK,99518,ALASKA STATE,AAAA,0,0,0,0,0
AK,99519,ALASKA STATE,AAAA,0,0,0,0,0
AK,99520,ALASKA STATE,AAAA,0,0,0,0,0
AK,99521,ALASKA STATE,AAAA,0,0,0,0,0
AK,99522,ALASKA STATE,AAAA,0,0,0,0,0
AK,99523,ALASKA STATE,AAAA,0,0,0,0,0
AK,99524,ALASKA STATE,AAAA,0,0,0,0,0
AK,99529,ALASKA STATE,AAAA,0,0,0,0,0
AK,99530,ALASKA STATE,AAAA,0,0,0,0,0
AK,99540,ALASKA STATE,AAAA,0,0,0,0,0
AK,99550,ALASKA STATE,AAAA,0,0,0,0,0
AK,99553,ALASKA STATE,AAAA,0,0,0,0,0
AK,99554,ALAKANUK,AAID,0.04,0,0,0.04,0
AK,99556,KENAI PENINSULA BURROUGH,AADF,0.03,0,0.03,0,0
AK,99558,ALASKA STATE,AAAA,0,0,0,0,0
AK,99559,BETHEL,AABB,0.06,0,0,0.06,0
AK,99567,ALASKA STATE,AAAA,0,0,0,0,0
AK,99568,KENAI PENINSULA BURROUGH,AADF,0.03,0,0.03,0,0
AK,99572,KENAI PENINSULA BURROUGH,AADF,0.03,0,0.03,0,0
AK,99573,ALASKA STATE,AAAA,0,0,0,0,0
AK,99574,CORDOVA,AAHU,0.06,0,0,0.06,0
AK,99576,DILLINGHAM,AACM,0.06,0,0,0.06,0
AK,99577,ALASKA STATE,AAAA,0,0,0,0,0
AK,99581,EMMONAK,AAIF,0.04,0,0,0.04,0
AK,99583,FALSE PASS,AAAT,0.03,0,0,0.03,0
AK,99586,ALASKA STATE,AAAA,0,0,0,0,0
AK,99587,ALASKA STATE,AAAA,0,0,0,0,0
AK,99588,ALASKA STATE,AAAA,0,0,0,0,0
AK,99590,ALASKA STATE,AAAA,0,0,0,0,0
AK,99599,ALASKA STATE,AAAA,0,0,0,0,0
AK,99602,ALASKA STATE,AAAA,0,0,0,0,0
AK,99603,HOMER,AADJ,0.075,0,0.03,0.045,0
AK,99605,KENAI PENINSULA BURROUGH,AADF,0.03,0,0.03,0,0
AK,99608,ALASKA STATE,AAAA,0,0,0,0,0
AK,99609,KASIGLUK,AABG,0.03,0,0,0.03,0
AK,99610,KENAI PENINSULA BURROUGH,AADF,0.03,0,0.03,0,0
AK,99611,KENAI,AADL,0.06,0,0.03,0.03,0
AK,99612,KING COVE,AAAU,0.06,0,0,0.06,0
AK,99615,KODIAK,AAEA,0.07,0,0,0.07,0
AK,99621,KWETHLUK,AABJ,0.05,0,0,0.05,0
AK,99622,ALASKA STATE,AAAA,0,0,0,0,0
AK,99623,ALASKA STATE,AAAA,0,0,0,0,0
AK,99624,LARSEN BAY,AAEC,0.03,0,0,0.03,0
AK,99631,KENAI PENINSULA BURROUGH,AADF,0.03,0,0.03,0,0
AK,99633,ALASKA STATE,AAAA,0,0,0,0,0
AK,99634,NAPAKIAK,AABN,0.05,0,0,0.05,0
AK,99635,KENAI,AADL,0.06,0,0.03,0.03,0
AK,99636,ALASKA STATE,AAAA,0,0,0,0,0
AK,99639,KENAI PENINSULA BURROUGH,AADF,0.03,0,0.03,0,0
AK,99643,OLD HARBOR,AAEE,0.03,0,0,0.03,0
AK,99644,OUZINKIE,AAED,0.03,0,0,0.03,0
AK,99645,ALASKA STATE,AAAA,0,0,0,0,0
AK,99649,ALASKA STATE,AAAA,0,0,0,0,0
AK,99652,ALASKA STATE,AAAA,0,0,0,0,0
AK,99653,ALASKA STATE,AAAA,0,0,0,0,0
AK,99654,ALASKA STATE,AAAA,0,0,0,0,0
AK,99655,QUINHAGAK,AABS,0.03,0,0,0.03,0
AK,99659,ALASKA STATE,AAAA,0,0,0,0,0
AK,99663,SELDOVIA,AADQ,0.075,0,0.03,0.045,0
AK,99664,KENAI PENINSULA BURROUGH,AADF,0.03,0,0.03,0,0
AK,99665,ALASKA STATE,AAAA,0,0,0,0,0
AK,99669,KENAI PENINSULA BURROUGH,AADF,0.03,0,0.03,0,0
AK,99672,KENAI PENINSULA BURROUGH,AADF,0.03,0,0.03,0,0
AK,99674,ALASKA STATE,AAAA,0,0,0,0,0
AK,99675,ALASKA STATE,AAAA,0,0,0,0,0
AK,99676,ALASKA STATE,AAAA,0,0,0,0,0
AK,99679,BETHEL,AABB,0.06,0,0,0.06,0
AK,99682,KENAI PENINSULA BURROUGH,AADF,0.03,0,0.03,0,0
AK,99683,ALASKA STATE,AAAA,0,0,0,0,0
AK,99684,UNALAKLEET,AAFQ,0.05,0,0,0.05,0
AK,99685,UNALASKA,AAAH,0.03,0,0,0.03,0
AK,99686,ALASKA STATE,AAAA,0,0,0,0,0
AK,99688,ALASKA STATE,AAAA,0,0,0,0,0
AK,99689,YAKUTAT,EHCP,0.05,0,0,0.05,0
AK,99691,ALASKA STATE,AAAA,0,0,0,0,0
AK,99692,UNALASKA,AAAH,0.03,0,0,0.03,0
AK,99694,HOUSTON,AAEV,0.02,0,0,0.02,0
AK,99701,ALASKA STATE,AAAA,0,0,0,0,0
AK,99702,ALASKA STATE,AAAA,0,0,0,0,0
AK,99703,ALASKA STATE,AAAA,0,0,0,0,0
AK,99704,ANDERSON,AACE,0.06,0,0,0.06,0
AK,99705,ALASKA STATE,AAAA,0,0,0,0,0
AK,99706,ALASKA STATE,AAAA,0,0,0,0,0
AK,99707,ALASKA STATE,AAAA,0,0,0,0,0
AK,99708,ALASKA STATE,AAAA,0,0,0,0,0
AK,99709,ALASKA STATE,AAAA,0,0,0,0,0
AK,99712,ALASKA STATE,AAAA,0,0,0,0,0
AK,99714,ALASKA STATE,AAAA,0,0,0,0,0
AK,99720,ALASKA STATE,AAAA,0,0,0,0,0
AK,99721,ALASKA STATE,AAAA,0,0,0,0,0
AK,99722,ALASKA STATE,AAAA,0,0,0,0,0
AK,99724,ALASKA STATE,AAAA,0,0,0,0,0
AK,99726,ALASKA STATE,AAAA,0,0,0,0,0
AK,99729,ALASKA STATE,AAAA,0,0,0,0,0
AK,99730,ALASKA STATE,AAAA,0,0,0,0,0
AK,99731,ALASKA STATE,AAAA,0,0,0,0,0
AK,99732,ALASKA STATE,AAAA,0,0,0,0,0
AK,99733,ALASKA STATE,AAAA,0,0,0,0,0
AK,99737,ALASKA STATE,AAAA,0,0,0,0,0
AK,99740,FORT YUKON,AAJE,0.03,0,0,0.03,0
AK,99741,GALENA,AAJG,0.03,0,0,0.03,0
AK,99743,ALASKA STATE,AAAA,0,0,0,0,0
AK,99744,ANDERSON,AACE,0.06,0,0,0.06,0
AK,99745,ALASKA STATE,AAAA,0,0,0,0,0
AK,99746,ALASKA STATE,AAAA,0,0,0,0,0
AK,99747,ALASKA STATE,AAAA,0,0,0,0,0
AK,99748,ALASKA STATE,AAAA,0,0,0,0,0
AK,99752,KOTZEBUE,AAGJ,0.06,0,0,0.06,0
AK,99754,ALASKA STATE,AAAA,0,0,0,0,0
AK,99755,ALASKA STATE,AAAA,0,0,0,0,0
AK,99756,ALASKA STATE,AAAA,0,0,0,0,0
AK,99757,ALASKA STATE,AAAA,0,0,0,0,0
AK,99758,ALASKA STATE,AAAA,0,0,0,0,0
AK,99759,ALASKA STATE,AAAA,0,0,0,0,0
AK,99760,NENANA,AAJR,0.04,0,0,0.04,0
AK,99762,NOME,AAFJ,0.07,0,0,0.07,0
AK,99764,ALASKA STATE,AAAA,0,0,0,0,0
AK,99765,ALASKA STATE,AAAA,0,0,0,0,0
AK,99766,POINT HOPE,AAFZ,0.03,0,0,0.03,0
AK,99767,ALASKA STATE,AAAA,0,0,0,0,0
AK,99768,ALASKA STATE,AAAA,0,0,0,0,0
AK,99774,ALASKA STATE,AAAA,0,0,0,0,0
AK,99775,ALASKA STATE,AAAA,0,0,0,0,0
AK,99776,ALASKA STATE,AAAA,0,0,0,0,0
AK,99777,TANANA,AAJY,0.02,0,0,0.02,0
AK,99780,ALASKA STATE,AAAA,0,0,0,0,0
AK,99781,ALASKA STATE,AAAA,0,0,0,0,0
AK,99788,ALASKA STATE,AAAA,0,0,0,0,0
AK,99789,ALASKA STATE,AAAA,0,0,0,0,0
AK,99801,JUNEAU BURROUGH,AADB,0.05,0,0.05,0,0
AK,99824,JUNEAU BURROUGH,AADB,0.05,0,0.05,0,0
AK,99825,ALASKA STATE,AAAA,0,0,0,0,0
AK,99827,HAINES BURROUGH,AACZ,0.04,0,0.04,0,0
AK,99829,HOONAH,AAHG,0.065,0,0,0.065,0
AK,99830,KAKE,AAIR,0.05,0,0,0.05,0
AK,99833,PETERSBURG BOROUGH,ELBA,0.06,0,0.06,0,0
AK,99835,SITKA BURROUGH,AAHA,0.06,0,0.06,0,0
AK,99836,PORT ALEXANDER,AAIT,0.04,0,0,0.04,0
AK,99840,SKAGWAY,AAHI,0.05,0,0,0.05,0
AK,99841,TENAKEE SPRINGS,AAHJ,0.02,0,0,0.02,0
AK,99901,KETCHIKAN,AADW,0.065,0,0,0.065,0
AK,99921,CRAIG,AAGQ,0.05,0,0,0.05,0
AK,99925,KLAWOCK,AAGV,0.055,0,0,0.055,0
AK,99928,KETCHIKAN GATEWAY BURROUGH,AADV,0.025,0,0.025,0,0
AK,99929,WRANGELL,AAIU,0.07,0,0,0.07,0
AL,35004,MOODY,ADWE,0.1,0.04,0,0.04,0.02
AL,35005,ADAMSVILLE,ACKH,0.1,0.04,0.01,0.04,0.01
AL,35006,JEFFERSON COUNTY,ACKE,0.06,0.04,0.01,0,0.01
AL,35007,ALABASTER,ADRT,0.09,0.04,0.01,0.03,0.01
AL,35010,ALEXANDER,AEBT,0.1,0.04,0.02,0.04,0
AL,35013,ALLGOOD,AAQV,0.08,0.04,0.03,0.01,0
AL,35014,TALLADEGA COUNTY,ADZP,0.07,0.04,0.03,0,0
AL,35015,IRONDALE,ACNA,0.1,0.04,0.01,0.04,0.01
AL,35016,ARAB (MARSHALL CO),ADEU,0.09,0.04,0,0.05,0
AL,35019,CULLMAN COUNTY,ABMB,0.085,0.04,0.045,0,0
AL,35020,BESSEMER,ACKT,0.1,0.04,0.01,0.04,0.01
AL,35021,BESSEMER,ACKT,0.1,0.04,0.01,0.04,0.01
AL,35022,BESSEMER,ACKT,0.1,0.04,0.01,0.04,0.01
AL,35023,HUEYTOWN,ACMV,0.1,0.04,0.01,0.04,0.01
AL,35031,BLOUNT COUNTY,AAQS,0.07,0.04,0.03,0,0
AL,35032,CHILDERSBURG PJ,ADZZ,0.08,0.04,0.02,0,0.02
AL,35033,CULLMAN COUNTY,ABMB,0.085,0.04,0.045,0,0
AL,35034,BIBB COUNTY,AAPQ,0.08,0.04,0.04,0,0
AL,35035,BIBB COUNTY,AAPQ,0.08,0.04,0.04,0,0
AL,35036,GARDENDALE,ACMD,0.1,0.04,0.01,0.04,0.01
AL,35038,DORA,AEFW,0.09,0.04,0.02,0.03,0
AL,35040,CALERA (SHELBY CO),ADSD,0.09,0.04,0.01,0.04,0
AL,35042,CENTREVILLE,AAQA,0.09,0.04,0.04,0.01,0
AL,35043,CHELSEA,ADSN,0.09,0.04,0.01,0.04,0
AL,35044,CHILDERSBURG,ADZW,0.09,0.04,0.01,0.04,0
AL,35045,CLANTON,AAYR,0.09,0.04,0.02,0.03,0
AL,35046,CHILTON COUNTY,AAYO,0.06,0.04,0.02,0,0
AL,35048,CLAY,ACLP,0.1,0.04,0.01,0.04,0.01
AL,35049,CLEVELAND PJ,AARK,0.08,0.04,0.03,0,0.01
AL,35051,SHELBY COUNTY,ADRQ,0.05,0.04,0.01,0,0
AL,35052,ST. CLAIR COUNTY,ADUY,0.06,0.04,0,0,0.02
AL,35053,CULLMAN COUNTY,ABMB,0.085,0.04,0.045,0,0
AL,35054,ST. CLAIR COUNTY,ADUY,0.06,0.04,0,0,0.02
AL,35055,CULLMAN,ABMM,0.09,0.04,0.045,0.005,0
AL,35056,CULLMAN,ABMM,0.09,0.04,0.045,0.005,0
AL,35057,CULLMAN COUNTY,ABMB,0.085,0.04,0.045,0,0
AL,35058,CULLMAN COUNTY,ABMB,0.085,0.04,0.045,0,0
AL,35060,ADAMSVILLE PJ,ACKJ,0.08,0.04,0.01,0,0.03
AL,35061,BIRMINGHAM (JEFFERSON CO),ACKY,0.1,0.04,0.01,0.04,0.01
AL,35062,DORA,AEFW,0.09,0.04,0.02,0.03,0
AL,35063,WALKER COUNTY,AEFJ,0.06,0.04,0.02,0,0
AL,35064,FAIRFIELD,ACLV,0.1,0.04,0.01,0.04,0.01
AL,35068,FULTONDALE,ACLY,0.1,0.04,0.01,0.04,0.01
AL,35070,HANCEVILLE UN,ENKY,0.0875,0.04,0.045,0,0.0025
AL,35071,GARDENDALE,ACMD,0.1,0.04,0.01,0.04,0.01
AL,35072,CLAY COUNTY,ABDL,0.06,0.04,0.02,0,0
AL,35073,GRAYSVILLE,ACMI,0.1,0.04,0.01,0.04,0.01
AL,35074,WOODSTOCK PJ,DTFF,0.09,0.04,0.04,0,0.01
AL,35077,HANCEVILLE UN,ENKY,0.0875,0.04,0.045,0,0.0025
AL,35078,HARPERSVILLE,ADSP,0.09,0.04,0.01,0.04,0
AL,35079,BLOUNT COUNTY,AAQS,0.07,0.04,0.03,0,0
AL,35080,HELENA (SHELBY CO),ADSU,0.09,0.04,0.01,0.04,0
AL,35082,CLAY COUNTY,ABDL,0.06,0.04,0.02,0,0
AL,35083,CULLMAN COUNTY,ABMB,0.085,0.04,0.045,0,0
AL,35085,CHILTON COUNTY,AAYO,0.06,0.04,0.02,0,0
AL,35087,CULLMAN COUNTY,ABMB,0.085,0.04,0.045,0,0
AL,35089,COOSA COUNTY,ABIO,0.06,0.04,0.02,0,0
AL,35091,KIMBERLY,ACND,0.1,0.04,0.01,0.04,0.01
AL,35094,LEEDS (JEFFERSON CO),ACNI,0.1,0.04,0.01,0.04,0.01
AL,35096,LINCOLN,AEAD,0.1,0.04,0.01,0.05,0
AL,35097,LOCUST FORK,AARR,0.09,0.04,0.03,0.02,0
AL,35098,CULLMAN COUNTY,ABMB,0.085,0.04,0.045,0,0
AL,35111,JEFFERSON COUNTY,ACKE,0.06,0.04,0.01,0,0.01
AL,35112,MARGARET,ADVZ,0.1,0.04,0,0.04,0.02
AL,35114,ALABASTER,ADRT,0.09,0.04,0.01,0.03,0.01
AL,35115,MONTEVALLO,ADTJ,0.09,0.04,0.01,0.04,0
AL,35116,MORRIS,ACNX,0.1,0.04,0.01,0.04,0.01
AL,35117,JEFFERSON COUNTY,ACKE,0.06,0.04,0.01,0,0.01
AL,35118,JEFFERSON COUNTY,ACKE,0.06,0.04,0.01,0,0.01
AL,35119,GARDENDALE,ACMD,0.1,0.04,0.01,0.04,0.01
AL,35120,ODENVILLE,ADWJ,0.09,0.04,0,0.03,0.02
AL,35121,ONEONTA,AARW,0.1,0.04,0.03,0.03,0
AL,35123,PINSON,ACOW,0.1,0.04,0.01,0.04,0.01
AL,35124,PELHAM,ADTQ,0.09,0.04,0.01,0.04,0
AL,35125,ST. CLAIR COUNTY,ADUY,0.06,0.04,0,0,0.02
AL,35126,JEFFERSON COUNTY,ACKE,0.06,0.04,0.01,0,0.01
AL,35127,PLEASANT GROVE,ACOP,0.1,0.04,0.01,0.04,0.01
AL,35128,PELL,ADWO,0.1,0.04,0,0.05,0.01
AL,35130,WALKER COUNTY,AEFJ,0.06,0.04,0.02,0,0
AL,35131,RAGLAND,ADWT,0.1,0.04,0,0.04,0.02
AL,35133,BLOUNT COUNTY,AAQS,0.07,0.04,0.03,0,0
AL,35135,RIVERSIDE,ADXC,0.1,0.04,0,0.04,0.02
AL,35136,ROCKFORD,ABJA,0.09,0.04,0.02,0.03,0
AL,35137,CALERA PJ (SHELBY CO),ADSG,0.07,0.04,0.01,0,0.02
AL,35139,ADAMSVILLE PJ,ACKJ,0.08,0.04,0.01,0,0.03
AL,35142,HOOVER (JEFFERSON CO),ACMQ,0.09,0.04,0.01,0.03,0.01
AL,35143,SHELBY COUNTY,ADRQ,0.05,0.04,0.01,0,0
AL,35146,ST. CLAIR COUNTY,ADUY,0.06,0.04,0,0,0.02
AL,35147,SHELBY COUNTY,ADRQ,0.05,0.04,0.01,0,0
AL,35148,SUMITON (WALKER CO),AEHN,0.095,0.04,0.02,0.035,0
AL,35149,TALLADEGA COUNTY,ADZP,0.07,0.04,0.03,0,0
AL,35150,SYLACAUGA,AEAU,0.08,0.04,0.01,0.03,0
AL,35151,TALLADEGA COUNTY,ADZP,0.07,0.04,0.03,0,0
AL,35160,TALLADEGA,AEBB,0.1,0.04,0.01,0.05,0
AL,35171,THORSBY,AAZN,0.09,0.04,0.02,0.03,0
AL,35172,BLOUNT COUNTY,AAQS,0.07,0.04,0.03,0,0
AL,35173,TRUSSVILLE (JEFFERSON CO),ACPW,0.1,0.04,0.01,0.04,0.01
AL,35175,MARSHALL COUNTY,ADEM,0.05,0.04,0.01,0,0
AL,35176,SHELBY COUNTY,ADRQ,0.05,0.04,0.01,0,0
AL,35178,VINCENT (SHELBY CO),ADUF,0.09,0.04,0.01,0.04,0
AL,35179,CULLMAN COUNTY,ABMB,0.085,0.04,0.045,0,0
AL,35180,BLOUNT COUNTY,AAQS,0.07,0.04,0.03,0,0
AL,35181,BROOKSIDE UN,ACLL,0.08,0.04,0.01,0,0.03
AL,35182,ST. CLAIR COUNTY,ADUY,0.06,0.04,0,0,0.02
AL,35183,COOSA COUNTY,ABIO,0.06,0.04,0.02,0,0
AL,35184,BIBB COUNTY,AAPQ,0.08,0.04,0.04,0,0
AL,35185,WESTOVER PJ,DYGD,0.07,0.04,0.01,0,0.02
AL,35186,WILSONVILLE,ADUM,0.08,0.04,0.01,0.03,0
AL,35187,WILTON,ADUR,0.08,0.04,0.01,0.03,0
AL,35188,WOODSTOCK (BIBB CO),AAQQ,0.1,0.04,0.04,0.02,0
AL,35201,BIRMINGHAM (JEFFERSON CO),ACKY,0.1,0.04,0.01,0.04,0.01
AL,35202,BIRMINGHAM (JEFFERSON CO),ACKY,0.1,0.04,0.01,0.04,0.01
AL,35203,BIRMINGHAM (JEFFERSON CO),ACKY,0.1,0.04,0.01,0.04,0.01
AL,35204,BIRMINGHAM (JEFFERSON CO),ACKY,0.1,0.04,0.01,0.04,0.01
AL,35205,BIRMINGHAM (JEFFERSON CO),ACKY,0.1,0.04,0.01,0.04,0.01
AL,35206,BIRMINGHAM (JEFFERSON CO),ACKY,0.1,0.04,0.01,0.04,0.01
AL,35207,BIRMINGHAM (JEFFERSON CO),ACKY,0.1,0.04,0.01,0.04,0.01
AL,35208,BIRMINGHAM (JEFFERSON CO),ACKY,0.1,0.04,0.01,0.04,0.01
AL,35209,HOMEWOOD,ACML,0.1,0.04,0.01,0.04,0.01
AL,35210,IRONDALE,ACNA,0.1,0.04,0.01,0.04,0.01
AL,35211,BIRMINGHAM (JEFFERSON CO),ACKY,0.1,0.04,0.01,0.04,0.01
AL,35212,BIRMINGHAM (JEFFERSON CO),ACKY,0.1,0.04,0.01,0.04,0.01
AL,35213,MOUNTAIN BROOK,ACOC,0.09,0.04,0.01,0.03,0.01
AL,35214,JEFFERSON COUNTY,ACKE,0.06,0.04,0.01,0,0.01
AL,35215,CENTER POINT,EFRG,0.08,0.04,0.01,0.02,0.01
AL,35216,VESTAVIA HILLS (JEFFERSON CO),ACQB,0.09,0.04,0.01,0.03,0.01
AL,35217,TARRANT,ACPM,0.1,0.04,0.01,0.04,0.01
AL,35218,BIRMINGHAM (JEFFERSON CO),ACKY,0.1,0.04,0.01,0.04,0.01
AL,35219,HOMEWOOD,ACML,0.1,0.04,0.01,0.04,0.01
AL,35220,CENTER POINT,EFRG,0.08,0.04,0.01,0.02,0.01
AL,35221,BIRMINGHAM (JEFFERSON CO),ACKY,0.1,0.04,0.01,0.04,0.01
AL,35222,BIRMINGHAM (JEFFERSON CO),ACKY,0.1,0.04,0.01,0.04,0.01
AL,35223,MOUNTAIN BROOK,ACOC,0.09,0.04,0.01,0.03,0.01
AL,35224,BIRMINGHAM (JEFFERSON CO),ACKY,0.1,0.04,0.01,0.04,0.01
AL,35226,HOOVER (JEFFERSON CO),ACMQ,0.09,0.04,0.01,0.03,0.01
AL,35228,MIDFIELD,ACNS,0.1,0.04,0.01,0.04,0.01
AL,35229,HOMEWOOD,ACML,0.1,0.04,0.01,0.04,0.01
AL,35231,JEFFERSON COUNTY,ACKE,0.06,0.04,0.01,0,0.01
AL,35232,BIRMINGHAM (JEFFERSON CO),ACKY,0.1,0.04,0.01,0.04,0.01
AL,35233,BIRMINGHAM (JEFFERSON CO),ACKY,0.1,0.04,0.01,0.04,0.01
AL,35234,BIRMINGHAM (JEFFERSON CO),ACKY,0.1,0.04,0.01,0.04,0.01
AL,35235,BIRMINGHAM (JEFFERSON CO),ACKY,0.1,0.04,0.01,0.04,0.01
